,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
716,IOBT,"IO Biotech, Inc.",108.70M,-2.94%,25384,-
717,CVM,CEL-SCI Corporation,108.50M,-4.74%,300798,-
718,OTLK,"Outlook Therapeutics, Inc.",107.23M,43.80%,2252201,-
719,LIFW,"MSP Recovery, Inc.",106.73M,0.99%,339305,8.60M
720,ASRT,"Assertio Holdings, Inc.",106.40M,2.75%,1807704,152.07M
721,SHLT,SHL Telemedicine Ltd.,104.73M,-0.85%,3678,57.10M
722,SY,So-Young International Inc.,103.26M,1.39%,64716,197.06M
723,CMRX,"Chimerix, Inc.",102.59M,0.88%,271760,324.00K
724,PETS,"PetMed Express, Inc.",102.56M,2.11%,536430,270.52M
725,MYO,"Myomo, Inc.",101.98M,4.07%,138995,19.24M
726,VANI,"Vivani Medical, Inc.",100.61M,7.65%,571158,-
727,KRMD,"KORU Medical Systems, Inc.",100.56M,0.46%,277374,28.52M
728,ATHA,"Athira Pharma, Inc.",100.42M,1.95%,512660,-
729,CRDL,Cardiol Therapeutics Inc.,99.75M,7.04%,126952,-
730,ETON,"Eton Pharmaceuticals, Inc.",98.90M,-13.68%,196130,32.64M
731,PLX,"Protalix BioTherapeutics, Inc.",97.03M,-2.92%,577845,65.49M
732,BWAY,BrainsWay Ltd.,96.66M,2.47%,65817,31.79M
733,SPRO,"Spero Therapeutics, Inc.",96.43M,2.87%,1032034,103.78M
734,ANVS,"Annovis Bio, Inc.",96.17M,1.91%,113924,-
735,VAXX,"Vaxxinity, Inc.",95.88M,7.76%,365050,-
736,BRNS,Barinthus Biotherapeutics plc,95.52M,-1.02%,9239,7.26M
737,RNAC,"Cartesian Therapeutics, Inc.",93.98M,8.41%,1638239,26.00M
738,CARM,"Carisma Therapeutics, Inc.",93.63M,-6.07%,232209,10.63M
739,LTRN,Lantern Pharma Inc.,93.47M,18.37%,741156,-
740,CUE,"Cue Biopharma, Inc.",93.41M,1.97%,261696,3.82M
741,CRVS,"Corvus Pharmaceuticals, Inc.",93.17M,1.06%,172619,-
742,IFRX,InflaRx N.V.,93.04M,3.95%,123709,60.80K
743,ELUT,Elutia Inc.,92.79M,1.23%,16480,24.75M
744,PRPH,"ProPhase Labs, Inc.",90.95M,3.70%,26985,62.71M
745,PMVP,"PMV Pharmaceuticals, Inc.",90.54M,6.67%,898288,-
746,ANTX,"AN2 Therapeutics, Inc.",89.22M,-1.32%,440704,-
747,EQ,"Equillium, Inc.",89.20M,-0.39%,143073,42.63M
748,ALVR,"AlloVir, Inc.",88.84M,7.18%,992126,-
749,RVPH,"Reviva Pharmaceuticals Holdings, Inc.",87.94M,9.00%,309765,-
750,DCTH,"Delcath Systems, Inc.",87.52M,6.72%,802903,2.17M
751,TRIB,Trinity Biotech plc,85.59M,3.70%,8302,61.44M
752,VERU,Veru Inc.,84.90M,-3.35%,1563339,16.30M
753,HYPR,"Hyperfine, Inc.",84.49M,8.26%,59010,9.77M
754,INCR,InterCure Ltd.,84.31M,5.71%,73207,112.41M
755,PASG,"Passage Bio, Inc.",83.40M,20.00%,202593,-
756,BLRX,BioLineRx Ltd.,83.31M,-2.54%,75935,-
757,ACRS,"Aclaris Therapeutics, Inc.",82.98M,1.74%,1057180,31.25M
758,BTAI,"BioXcel Therapeutics, Inc.",81.42M,-6.62%,1452327,1.24M
759,PSNL,"Personalis, Inc.",81.31M,1.90%,225915,73.48M
760,MDXH,MDxHealth SA,80.73M,-6.32%,27248,70.19M
761,TIL,"Instil Bio, Inc.",80.71M,-0.48%,7088,-
762,MURA,Mural Oncology plc,80.28M,-0.21%,367434,-
763,NVNO,enVVeno Medical Corporation,79.24M,4.94%,75090,-
764,EGRX,"Eagle Pharmaceuticals, Inc.",78.40M,1.68%,326363,257.55M
765,LVTX,LAVA Therapeutics N.V.,77.55M,7.66%,549649,9.63M
766,MIST,Milestone Pharmaceuticals Inc.,77.07M,2.11%,317951,4.50M
767,ENLV,Enlivex Therapeutics Ltd.,76.44M,-0.24%,16108,-
768,IKNA,"Ikena Oncology, Inc.",75.77M,7.53%,568375,9.16M
769,VNRX,VolitionRx Limited,75.54M,6.67%,79319,651.04K
770,ONCY,Oncolytics Biotech Inc.,74.58M,-3.05%,398261,-
771,ELYM,"Eliem Therapeutics, Inc.",74.45M,-3.23%,2718,-
772,CSBR,"Champions Oncology, Inc.",74.36M,1.11%,2388,49.22M
773,ASXC,"Asensus Surgical, Inc.",74.17M,-3.11%,516299,5.61M
774,DTIL,"Precision BioSciences, Inc.",73.98M,3.30%,104044,52.29M
775,NUTX,"Nutex Health, Inc.",71.77M,1.37%,2334146,231.70M
776,CNTB,Connect Biopharma Holdings Limited,71.59M,11.11%,115203,-
777,HOOK,HOOKIPA Pharma Inc.,71.15M,4.60%,456721,20.55M
778,GNTA,Genenta Science S.p.A.,71.05M,-,203,-
779,CGTX,"Cognition Therapeutics, Inc.",70.98M,2.25%,274367,-
780,RZLT,"Rezolute, Inc.",70.53M,-2.20%,283554,-
781,EYEN,"Eyenovia, Inc.",70.15M,-1.24%,645891,1.20K
782,TPST,"Tempest Therapeutics, Inc.",70.06M,6.12%,682621,-
783,BNR,Burning Rock Biotech Limited,69.82M,-2.72%,13690,76.83M
784,MLEC,Moolec Science SA,69.78M,-2.97%,6843,-
785,ALGS,"Aligos Therapeutics, Inc.",69.73M,5.96%,1045565,15.53M
786,GANX,"Gain Therapeutics, Inc.",69.50M,0.23%,128167,55.18K
787,AFMD,Affimed N.V.,68.25M,3.86%,75028,20.23M
788,KRON,"Kronos Bio, Inc.",67.65M,1.75%,273506,4.00M
789,IMMX,"Immix Biopharma, Inc.",67.41M,-7.04%,458547,-
790,RBOT,Vicarious Surgical Inc.,67.26M,17.21%,943922,-
791,GEG,"Great Elm Group, Inc.",67.05M,6.00%,34183,11.05M
792,ASMB,"Assembly Biosciences, Inc.",66.73M,-0.41%,16159,-
793,INTS,"Intensity Therapeutics, Inc.",65.94M,15.62%,104425,-
794,ANEB,"Anebulo Pharmaceuticals, Inc.",65.87M,4.53%,1984,-
795,MGRM,"Monogram Orthopaedics, Inc.",65.38M,4.48%,44421,365.00K
796,MTNB,"Matinas BioPharma Holdings, Inc.",65.18M,26.00%,3305741,4.28M
797,KZR,"Kezar Life Sciences, Inc.",64.06M,3.53%,874375,7.00M
798,MNOV,"MediciNova, Inc.",63.76M,-4.41%,74819,1.00M
799,TSBX,Turnstone Biologics Corp.,63.51M,9.93%,795365,81.89M
800,BEAT,"HeartBeam, Inc.",63.45M,4.33%,154572,-
801,ATRA,"Atara Biotherapeutics, Inc.",63.27M,-1.46%,1463746,4.54M
802,DERM,Journey Medical Corporation,62.93M,-2.02%,106231,79.89M
803,CDTX,"Cidara Therapeutics, Inc.",62.06M,6.85%,1338251,56.54M
804,APYX,Apyx Medical Corporation,62.01M,5.92%,56150,50.30M
805,ENZ,"Enzo Biochem, Inc.",61.98M,-3.97%,141949,12.81M
806,SSIC,Silver Spike Investment Corp.,61.28M,-0.30%,8967,7.76M
807,RLYB,Rallybio Corporation,61.26M,1.57%,196432,-
808,CRIS,"Curis, Inc.",60.71M,1.08%,11295,10.02M
809,NEUE,NeueHealth Inc,60.70M,9.03%,36903,1.88B
810,PDEX,"Pro-Dex, Inc.",60.22M,-1.44%,9121,48.24M
811,RGC,Regencell Bioscience Holdings Limited,60.18M,-4.24%,1039,-
812,AVRO,"AVROBIO, Inc.",58.06M,2.36%,491509,-
813,THTX,Theratechnologies Inc.,57.93M,6.78%,15197,59.25M
814,HCWB,HCW Biologics Inc.,57.77M,6.25%,63128,576.02K
815,AMIX,"Autonomix Medical, Inc.",57.75M,-12.03%,62184,-
816,SRTS,"Sensus Healthcare, Inc.",57.64M,-4.86%,245717,24.41M
817,CLGN,CollPlant Biotechnologies Ltd.,57.38M,-4.57%,2469,10.72M
818,PRE,Prenetics Global Limited,57.12M,-0.43%,70636,68.79M
819,MODD,"Modular Medical, Inc.",56.71M,1.10%,169274,-
820,CTCX,Carmell Therapeutics Corporation,56.55M,6.06%,4040,25.65M
821,LPTX,"Leap Therapeutics, Inc.",56.50M,0.45%,148251,-
822,IMRX,Immuneering Corporation,55.93M,-34.14%,3554759,-
823,ICU,SeaStar Medical Holding Corporation,55.57M,4.02%,4658425,-
824,XAIR,"Beyond Air, Inc.",55.50M,2.67%,372538,689.00K
825,ICCM,IceCure Medical Ltd,55.33M,-2.44%,80207,2.91M
826,RPHM,"Reneo Pharmaceuticals, Inc.",55.30M,3.75%,270840,-
827,BNGO,"Bionano Genomics, Inc.",55.24M,-0.98%,1211253,36.12M
828,SCYX,"SCYNEXIS, Inc.",53.95M,-3.33%,361330,135.87M
829,APLM,"Apollomics, Inc.",53.78M,0.33%,161426,-
830,NSPR,"InspireMD, Inc.",53.72M,-4.58%,24720,6.21M
831,MLSS,Milestone Scientific Inc.,53.60M,4.70%,188611,9.81M
832,AONC,"American Oncology Network, Inc.",53.48M,2.89%,10320,-
833,AADI,"Aadi Bioscience, Inc.",53.28M,5.85%,506738,24.35M
834,LUCD,Lucid Diagnostics Inc.,53.28M,-0.89%,352533,1.50M
835,FIXX,"Homology Medicines, Inc.",53.23M,-1.25%,149944,1.16M
836,CRVO,CervoMed Inc.,52.43M,8.11%,25163,1.53M
837,RNLX,Renalytix Plc,51.56M,-2.16%,200303,2.41M
838,CLNN,Clene Inc.,51.37M,-4.76%,557418,654.00K
839,SABS,"SAB Biotherapeutics, Inc.",50.92M,-8.00%,70620,4.09M
840,UNCY,"Unicycive Therapeutics, Inc.",50.74M,1.39%,344346,-
841,TLSA,Tiziana Life Sciences Ltd,50.12M,-0.66%,25977,-
842,BGXX,Bright Green Corporation,50.07M,1.11%,1721522,-
843,QNCX,"Quince Therapeutics, Inc.",49.73M,-,22401,-
844,IXHL,Incannex Healthcare Limited,49.51M,0.97%,281148,-
845,LEXX,Lexaria Bioscience Corp.,49.42M,1.30%,448047,276.01K
846,NKGN,"NKGen Biotech, Inc.",49.41M,5.38%,535240,77.00K
847,INAB,"IN8bio, Inc.",49.35M,-1.72%,253721,-
848,ENTX,Entera Bio Ltd.,48.61M,-,16329,-
849,ELTX,"Elicio Therapeutics, Inc.",48.03M,-4.58%,31967,-
850,CARA,"Cara Therapeutics, Inc.",47.99M,11.65%,738032,20.97M
851,DHAI,"DIH Holdings US, Inc.",47.84M,11.32%,934429,13.17M
852,SLS,"SELLAS Life Sciences Group, Inc.",47.84M,-29.03%,7236559,-
853,CKPT,"Checkpoint Therapeutics, Inc.",47.62M,3.78%,292206,171.00K
854,OKYO,OKYO Pharma Limited,47.20M,3.87%,41845,-
855,CYTH,"Cyclo Therapeutics, Inc.",47.18M,6.45%,208918,951.81K
856,BCTX,BriaCell Therapeutics Corp.,47.15M,-1.67%,45900,-
857,OCUP,"Ocuphire Pharma, Inc.",47.15M,0.53%,249409,19.05M
858,CCEL,"Cryo-Cell International, Inc.",46.82M,1.25%,22467,31.34M
859,DARE,"Daré Bioscience, Inc.",46.17M,2.90%,148682,1.00M
860,CTSO,Cytosorbents Corporation,45.91M,-9.27%,522785,36.35M
861,ACHL,Achilles Therapeutics plc,44.86M,-0.90%,329524,-
862,LNSR,"LENSAR, Inc.",44.21M,14.12%,34576,42.16M
863,MDAI,"Spectral AI, Inc.",44.16M,16.94%,21131242,38.14M
864,VTVT,vTv Therapeutics Inc.,43.79M,5.57%,20000,-
865,CADL,"Candel Therapeutics, Inc.",43.38M,-3.85%,63597,-
866,DYAI,"Dyadic International, Inc.",43.22M,-1.32%,46514,2.96M
867,ESLA,"Estrella Immunopharma, Inc.",42.95M,7.77%,33015,-
868,CLRB,"Cellectar Biosciences, Inc.",42.76M,2.96%,937425,-
869,RGLS,Regulus Therapeutics Inc.,42.67M,-13.70%,1466323,-
870,GMDA,Gamida Cell Ltd.,42.39M,-1.66%,1016235,673.00K
871,CASI,"CASI Pharmaceuticals, Inc.",42.36M,-8.88%,125698,42.26M
872,DRIO,DarioHealth Corp.,42.24M,1.33%,56598,23.55M
873,BOLT,"Bolt Biotherapeutics, Inc.",42.14M,0.91%,134199,7.20M
874,TARA,"Protara Therapeutics, Inc.",42.08M,3.08%,105981,-
875,NRXP,"NRx Pharmaceuticals, Inc.",42.06M,6.83%,942721,-
876,ICAD,"iCAD, Inc.",41.90M,-1.24%,248340,22.21M
877,RPID,"Rapid Micro Biosystems, Inc.",41.65M,-1.76%,24472,22.52M
878,EVGN,Evogene Ltd.,41.51M,7.40%,33446,5.64M
879,PLUR,Pluri Inc.,41.36M,6.94%,37306,357.00K
880,DXR,Daxor Corporation,40.73M,0.12%,401,-2.00M
881,FEMY,Femasys Inc.,40.70M,9.30%,1101862,1.09M
882,ICCC,ImmuCell Corporation,40.69M,2.14%,3005,16.29M
883,NXTC,"NextCure, Inc.",40.46M,-1.36%,42528,-
884,LFWD,ReWalk Robotics Ltd,40.10M,11.99%,169584,13.85M
885,OWLT,"Owlet, Inc.",39.89M,2.77%,44591,54.01M
886,RMTI,"Rockwell Medical, Inc.",39.89M,0.72%,189373,80.83M
887,ECOR,"electroCore, Inc.",39.86M,9.03%,17533,16.03M
888,CUTR,"Cutera, Inc.",39.72M,2.05%,706895,230.18M
889,MRKR,"Marker Therapeutics, Inc.",39.38M,-1.12%,5556,9.06M
890,BIMI,BIMI International Medical Inc.,39.35M,10.20%,4915,5.85M
891,IRIX,IRIDEX Corporation,39.16M,-6.95%,94837,54.61M
892,VIRX,"Viracta Therapeutics, Inc.",39.12M,2.68%,37755,-
893,BIVI,BioVie Inc.,38.74M,6.00%,667681,-
894,DRRX,DURECT Corporation,38.48M,-5.84%,211493,9.19M
895,IPA,ImmunoPrecise Antibodies Ltd.,37.89M,-9.43%,344927,17.67M
896,EFTR,"eFFECTOR Therapeutics, Inc.",37.79M,1.94%,108472,675.00K
897,LIAN,LianBio,37.58M,83.05%,23053610,-
898,ACXP,"Acurx Pharmaceuticals, Inc.",37.45M,0.37%,116105,-
899,AWH,Aspira Women's Health Inc.,37.42M,-2.17%,10106,9.18M
900,ELDN,"Eledon Pharmaceuticals, Inc.",37.27M,-3.75%,55483,-
901,APM,Aptorum Group Limited,36.79M,4.87%,2034653,1.20M
902,OMIC,"Singular Genomics Systems, Inc.",36.69M,-0.22%,41621,2.60M
903,PMN,"ProMIS Neurosciences, Inc.",36.07M,-3.05%,5582,-
904,RVP,"Retractable Technologies, Inc.",35.92M,-1.64%,61877,41.99M
905,FBIO,"Fortress Biotech, Inc.",35.56M,15.18%,663869,80.97M
906,POCI,"Precision Optics Corporation, Inc.",34.83M,2.09%,1530,19.22M
907,MEDS,"TRxADE HEALTH, Inc.",34.70M,-1.20%,97462,9.09M
908,CLDI,"Calidi Biotherapeutics, Inc.",34.43M,4.60%,30840,-
909,EUDA,EUDA Health Holdings Limited,33.99M,16.08%,55126,-
910,SPRB,"Spruce Biosciences, Inc.",33.15M,-0.32%,7361537,7.20M
911,CODX,"Co-Diagnostics, Inc.",32.72M,-10.08%,196311,6.81M
912,ACST,Acasti Pharma Inc.,31.77M,-1.17%,10660,-
913,STRM,"Streamline Health Solutions, Inc.",31.32M,8.38%,143380,23.98M
914,HLTH,Cue Health Inc.,31.10M,-10.82%,1554994,70.94M
915,INKT,"MiNK Therapeutics, Inc.",30.88M,0.51%,37625,-
916,BIOR,"Biora Therapeutics, Inc.",30.47M,3.70%,334641,18.00K
917,SLGL,Sol-Gel Technologies Ltd.,29.09M,-0.56%,4295,1.55M
918,VYNE,VYNE Therapeutics Inc.,28.34M,-2.43%,39194,424.00K
919,HUGE,FSD Pharma Inc.,28.21M,-2.47%,79933,-
920,XGN,Exagen Inc.,27.61M,-5.81%,68269,51.62M
921,NMTC,NeuroOne Medical Technologies Corporation,27.49M,-0.93%,68453,2.82M
922,TCRT,"Alaunos Therapeutics, Inc.",27.43M,4.27%,52786,15.00K
923,MRAI,"Marpai, Inc.",27.31M,12.24%,309360,36.08M
924,ALRN,"Aileron Therapeutics, Inc.",27.26M,-0.89%,15111,-
925,ORGS,Orgenesis Inc.,26.95M,1.70%,85249,27.75M
926,ONMD,OneMedNet Corporation,26.90M,-0.75%,281419,1.57M
927,CDIO,"Cardio Diagnostics Holdings, Inc.",26.59M,-3.82%,288623,12.71K
928,ATIP,"ATI Physical Therapy, Inc.",26.48M,2.72%,4119,699.02M
929,BFRG,"Bullfrog AI Holdings, Inc.",26.43M,2.20%,405140,75.00K
930,COCH,"Envoy Medical, Inc.",26.39M,21.65%,237205,380.00K
931,PYPD,PolyPid Ltd.,26.34M,7.86%,40,-
932,SRZN,"Surrozen, Inc.",26.07M,-2.59%,2651,12.50M
933,IINN,Inspira Technologies Oxy B.H.N. Ltd.,26.03M,8.14%,146326,-
934,QTI,"QT Imaging Holdings, Inc.",25.72M,-,420135,708.24K
935,CERO,"CERo Therapeutics Holdings, Inc.",25.65M,-4.02%,244368,-
936,MEIP,"MEI Pharma, Inc.",25.52M,-2.30%,25360,72.65M
937,CPIX,Cumberland Pharmaceuticals Inc.,25.52M,-,21716,39.55M
938,TXMD,"TherapeuticsMD, Inc.",25.38M,1.69%,14352,1.95M
939,SNSE,"Sensei Biotherapeutics, Inc.",25.32M,3.06%,35910,-
940,UBX,"Unity Biotechnology, Inc.",25.18M,-,125701,-
941,LSTA,"Lisata Therapeutics, Inc.",25.17M,-,3084,-
942,PTN,"Palatin Technologies, Inc.",24.85M,2.67%,377312,7.10M
943,OCX,OncoCyte Corporation,24.62M,1.02%,8727,-2.36M
944,GDTC,CytoMed Therapeutics Limited,24.56M,-4.91%,3368,573.59K
945,ABIO,"ARCA biopharma, Inc.",24.51M,-0.59%,35218,-
946,LPCN,Lipocine Inc.,24.45M,-1.92%,44218,-2.85M
947,MOVE,Movano Inc.,24.29M,-12.53%,85315,-
948,DMTK,"DermTech, Inc.",23.92M,1.77%,174731,15.30M
949,APTO,Aptose Biosciences Inc.,23.87M,8.57%,70109,-
950,ONCT,"Oncternal Therapeutics, Inc.",23.74M,1.71%,5617,785.00K
951,EKSO,"Ekso Bionics Holdings, Inc.",23.63M,-2.22%,141987,18.28M
952,APRE,"Aprea Therapeutics, Inc.",23.13M,14.00%,33426,569.16K
953,NEPH,"Nephros, Inc.",22.88M,-1.36%,21331,14.24M
954,NRBO,"NeuroBo Pharmaceuticals, Inc.",22.57M,1.10%,31074,-
955,FBRX,"Forte Biosciences, Inc.",22.53M,-4.47%,30089,-
956,MAIA,"MAIA Biotechnology, Inc.",22.25M,6.11%,329479,-
957,RNXT,"RenovoRx, Inc.",22.21M,2.33%,47139,-
958,GLTO,"Galecto, Inc.",22.18M,7.18%,92447,-
959,LUMO,"Lumos Pharma, Inc.",21.89M,1.50%,33680,2.05M
960,QLI,Qilian International Holding Group Limited,21.60M,-5.74%,13951,46.47M
961,MYNZ,Mainz Biomed B.V.,21.17M,1.96%,33587,-
962,CCM,Concord Medical Services Holdings Limited,20.84M,19.97%,1119,84.58M
963,CMAX,"CareMax, Inc.",20.75M,6.54%,53079,763.53M
964,NTRB,Nutriband Inc.,20.73M,6.06%,4764,2.09M
965,LABP,"Landos Biopharma, Inc.",20.70M,2.47%,2487,-
966,TTOO,"T2 Biosystems, Inc.",20.62M,3.98%,70102,11.00M
967,KALA,"Kala Pharmaceuticals, Inc.",20.28M,-0.40%,11851,-
968,AXDX,"Accelerate Diagnostics, Inc.",20.24M,-5.00%,144456,12.00M
969,MHUA,"Meihua International Medical Technologies Co., Ltd.",20.06M,3.23%,26930,96.70M
970,AKLI,"Akili, Inc.",20.04M,-1.35%,145512,1.68M
971,CCLD,"CareCloud, Inc.",20.00M,-5.26%,92046,121.18M
972,BIAF,"bioAffinity Technologies, Inc.",19.71M,7.34%,135331,321.49K
973,ITRM,Iterum Therapeutics plc,19.62M,0.69%,79398,-
974,NERV,"Minerva Neurosciences, Inc.",19.51M,1.45%,58672,-
975,CNTG,Centogene N.V.,19.51M,0.20%,3548,55.72M
976,GYRE,"Gyre Therapeutics, Inc.",19.42M,-10.95%,77062,-
977,INBS,Intelligent Bio Solutions Inc.,19.28M,-2.01%,48530,2.88M
978,PPBT,Purple Biotech Ltd.,19.25M,3.71%,50932,-
979,NRSN,NeuroSense Therapeutics Ltd.,18.86M,-0.72%,116725,-
980,XLO,"Xilio Therapeutics, Inc.",18.86M,5.94%,85605,-
981,TNXP,Tonix Pharmaceuticals Holding Corp.,18.82M,-3.40%,1307997,3.99M
982,NCNA,NuCana plc,18.41M,-10.77%,2096621,-
983,NRXS,"NeurAxis, Inc.",17.98M,4.29%,14688,2.54M
984,BMRA,"Biomerica, Inc.",17.83M,2.91%,21067,5.50M
985,ONTX,"Onconova Therapeutics, Inc.",17.48M,-7.78%,109118,226.00K
986,TFFP,"TFF Pharmaceuticals, Inc.",17.43M,-3.28%,10198,932.32K
987,CNTX,Context Therapeutics Inc.,17.40M,-1.80%,41556,-
988,PMD,Psychemedics Corporation,17.17M,-1.33%,23980,22.80M
989,SSKN,"STRATA Skin Sciences, Inc.",17.13M,-6.00%,36506,35.27M
990,TCON,"TRACON Pharmaceuticals, Inc.",17.06M,-14.31%,6522516,12.05M
991,SYBX,"Synlogic, Inc.",17.00M,3.35%,17404,708.00K
992,PHGE,BiomX Inc.,16.83M,3.63%,275475,-
993,PMCB,"PharmaCyte Biotech, Inc.",16.80M,-4.41%,29071,-
994,PETV,"PetVivo Holdings, Inc.",16.77M,-0.99%,30337,1.05M
995,PIRS,"Pieris Pharmaceuticals, Inc.",16.71M,-1.17%,338346,47.36M
996,SNTI,"Senti Biosciences, Inc.",16.62M,2.39%,36534,2.62M
997,TLIS,Talis Biomedical Corporation,16.57M,3.41%,5101,2.20M
998,MBRX,"Moleculin Biotech, Inc.",16.52M,-7.67%,101633,-
999,IMRN,Immuron Limited,16.34M,2.50%,86177,2.43M
1000,BCLI,Brainstorm Cell Therapeutics Inc.,16.31M,1.31%,448894,-
1001,AMS,American Shared Hospital Services,16.19M,-3.20%,13807,20.66M
1002,AIM,AIM ImmunoTech Inc.,16.12M,-1.05%,59374,193.00K
1003,MIRA,"MIRA Pharmaceuticals, Inc.",16.11M,-4.07%,234839,-
1004,MBOT,Microbot Medical Inc.,15.98M,-1.77%,225533,-
1005,AYTU,"Aytu BioPharma, Inc.",15.98M,0.35%,11421,98.50M
1006,INDP,"Indaptus Therapeutics, Inc.",15.97M,-2.09%,23275,-
1007,AIH,Aesthetic Medical International Holdings Group Limited,15.72M,-7.13%,2910,89.89M
1008,RDHL,RedHill Biopharma Ltd.,15.65M,-0.42%,389349,35.75M
1009,TBIO,"Telesis Bio, Inc.",15.54M,0.93%,113733,30.00M
1010,COCP,"Cocrystal Pharma, Inc.",15.46M,3.40%,10179,-
1011,ACOR,"Acorda Therapeutics, Inc.",15.40M,-3.80%,2942,111.12M
1012,PAVM,PAVmed Inc.,15.38M,-7.95%,38504,1.52M
1013,ATHE,Alterity Therapeutics Limited,15.36M,-3.30%,22375,-
1014,KPRX,"Kiora Pharmaceuticals, Inc.",15.01M,2.42%,50838,-
1015,XRTX,XORTX Therapeutics Inc.,14.99M,-7.57%,70998,-
1016,NXGL,"NEXGEL, Inc.",14.87M,-,23528,3.53M
1017,MTEM,"Molecular Templates, Inc.",14.78M,-0.72%,12436,52.90M
1018,TLPH,Talphera Inc.,14.58M,0.88%,35235,651.00K
1019,STRR,"Star Equity Holdings, Inc.",14.40M,-,38139,77.17M
1020,EVAX,Evaxion Biotech A/S,14.39M,1.36%,12358,-
1021,NNVC,"NanoViricides, Inc.",14.13M,2.56%,34494,-
1022,EDSA,"Edesa Biotech, Inc.",13.92M,2.33%,4527,-
1023,ETAO,"ETAO International Co., Ltd.",13.66M,-1.26%,24320,58.06M
1024,SEEL,"Seelos Therapeutics, Inc.",13.65M,-5.00%,282099,2.20M
1025,VBIV,VBI Vaccines Inc.,13.28M,-4.92%,44142,8.12M
1026,BNTC,Benitec Biopharma Inc.,13.22M,-2.49%,6383,61.00K
1027,IKT,"Inhibikase Therapeutics, Inc.",13.05M,-0.94%,36421,324.07K
1028,CANF,Can-Fite BioPharma Ltd.,12.82M,-0.93%,2100,793.00K
1029,ELAB,"Elevai Labs, Inc.",12.67M,-8.02%,44396,1.03M
1030,COSM,Cosmos Health Inc.,12.47M,2.56%,865220,49.59M
1031,ADXN,Addex Therapeutics Ltd,12.41M,2.99%,4590,2.24M
1032,ABVC,"ABVC BioPharma, Inc.",12.36M,-2.50%,127869,152.43K
1033,COEP,"Coeptis Therapeutics, Inc.",12.26M,-3.93%,166494,-
1034,DOMH,Dominari Holdings Inc.,12.23M,-1.42%,10012,1.03M
1035,BTCY,"Biotricity, Inc.",12.06M,4.07%,16852,11.63M
1036,ERNA,Eterna Therapeutics Inc.,11.79M,1.40%,10469,68.00K
1037,NTBL,Notable Labs Inc.,11.70M,-0.63%,111079,-
1038,GRTX,"Galera Therapeutics, Inc.",11.49M,0.09%,325786,-
1039,ASLN,ASLAN Pharmaceuticals Limited,11.44M,4.00%,971318,12.00M
1040,LGVN,Longeveron Inc.,11.31M,-2.17%,58917,709.00K
1041,AKTX,"Akari Therapeutics, Plc",11.14M,-1.99%,3128,-
1042,FRES,Fresh2 Group Ltd,11.09M,19.51%,168588,2.35M
1043,CHEK,Check-Cap Ltd.,11.06M,-,6079,-
1044,NDRA,ENDRA Life Sciences Inc.,11.04M,-3.85%,233932,-
1045,NLSP,NLS Pharmaceutics AG,11.02M,-7.21%,99741,-
1046,GENE,Genetic Technologies Limited,11.01M,2.67%,9804,5.78M
1047,CMMB,Chemomab Therapeutics Ltd.,10.89M,-3.58%,12288,-
1048,PRTG,Portage Biotech Inc.,10.88M,-2.05%,14681,-
1049,OSA,"ProSomnus, Inc.",10.87M,1.56%,96235,25.61M
1050,POAI,Predictive Oncology Inc.,10.73M,-0.38%,38873,1.81M
1051,ONVO,"Organovo Holdings, Inc.",10.54M,6.06%,233068,242.00K
1052,AEZS,Aeterna Zentaris Inc.,10.54M,8.50%,29317,6.86M
1053,SYRA,Syra Health Corp.,10.53M,-5.20%,78847,5.71M
1054,ICCT,iCoreConnect Inc.,10.47M,-7.14%,126578,7.75M
1055,GHSI,"Guardion Health Sciences, Inc.",10.35M,-0.98%,55696,12.04M
1056,BCDA,"BioCardia, Inc.",10.11M,-0.86%,138711,570.00K
1057,TRVN,"Trevena, Inc.",10.08M,-0.40%,93006,3.21M
1058,MBIO,"Mustang Bio, Inc.",9.87M,-4.49%,118842,-
1059,HEPA,"Hepion Pharmaceuticals, Inc.",9.80M,11.33%,40672,-
1060,NVOS,"Novo Integrated Sciences, Inc.",9.76M,-0.88%,874086,13.04M
1061,MNPR,Monopar Therapeutics Inc.,9.68M,-8.31%,263210,-
1062,CVKD,"Cadrenal Therapeutics, Inc.",9.41M,0.24%,28324,-
1063,VCNX,"Vaccinex, Inc.",9.39M,-4.05%,13412,795.00K
1064,FLGC,Flora Growth Corp.,9.03M,10.00%,76534,70.37M
1065,CYCN,"Cyclerion Therapeutics, Inc.",8.81M,4.50%,972,-
1066,BRTX,"BioRestorative Therapies, Inc.",8.72M,3.10%,32855,130.20K
1067,PRPO,"Precipio, Inc.",8.66M,0.99%,2758,13.26M
1068,BNOX,Bionomics Limited,8.40M,0.98%,62532,15.00K
1069,HSCS,"Heart Test Laboratories, Inc.",8.31M,1.36%,1817192,18.60K
1070,HCTI,"Healthcare Triangle, Inc.",8.19M,2.70%,13372,37.44M
1071,IMNN,"Imunon, Inc.",8.08M,7.50%,35181,125.00K
1072,BFRI,Biofrontera Inc.,7.89M,-11.43%,250372,34.07M
1073,TOVX,"Theriva Biologics, Inc.",7.67M,1.67%,15648,-
1074,NURO,"NeuroMetrix, Inc.",7.63M,-0.78%,11786,5.90M
